Snum,forest_type,colony#,far/near,head_area,left_eye,right_eye,eye_area,ratio%,body_size
1,rain_forest,1,F,2.762,0.116,0.114,0.115,4.163649529,big
2,rain_forest,1,F,2.356,0.112,0.079,0.0955,4.053480475,big
3,rain_forest,1,F,2.015,0.089,0.078,0.0835,4.143920596,big
4,rain_forest,1,F,0.747,0.051,0.016,0.0335,4.484605087,small
5,rain_forest,1,F,0.995,0.058,0.034,0.046,4.623115578,small
6,rain_forest,1,F,0.936,0.047,0.03,0.0385,4.113247863,small
1,rain_forest,1,N,1.723,0.022,0.115,0.0685,3.975623912,big
2,rain_forest,1,N,1.69,0.13,0.023,0.0765,4.526627219,big
3,rain_forest,1,N,2.168,0.112,0.097,0.1045,4.820110701,big
4,rain_forest,1,N,1.474,0.072,0.079,0.0755,5.122116689,small
5,rain_forest,1,N,0.847,0.061,0.021,0.041,4.840613932,small
6,rain_forest,1,N,0.671,0.041,0.013,0.027,4.023845007,small
1,rain_forest,2,F,2.389,0.127,0.081,0.104,4.353285894,big
2,rain_forest,2,F,1.972,0.105,0.062,0.0835,4.234279919,big
3,rain_forest,2,F,2.167,0.118,0.104,0.111,5.122288879,big
4,rain_forest,2,F,1.073,0.031,0.063,0.047,4.380242311,small
5,rain_forest,2,F,0.929,0.061,0.022,0.0415,4.467168999,small
6,rain_forest,2,F,0.969,0.054,0.047,0.0505,5.211558308,small
1,rain_forest,2,N,2.653,0.104,0.137,0.1205,4.542027893,big
2,rain_forest,2,N,1.948,0.09,0.079,0.0845,4.337782341,big
3,rain_forest,2,N,2.17,0.104,0.134,0.119,5.483870968,big
4,rain_forest,2,N,1.07,0.027,0.056,0.0415,3.878504673,small
5,rain_forest,2,N,0.755,0.061,0.021,0.041,5.430463576,small
6,rain_forest,2,N,0.789,0.013,0.06,0.0365,4.626108999,small
1,rain_forest,3,F,2.269,0.1,0.121,0.1105,4.869986778,big
2,rain_forest,3,F,2.159,0.115,0.095,0.105,4.863362668,big
3,rain_forest,3,F,2.474,0.061,0.126,0.0935,3.77930477,big
4,rain_forest,3,F,1.081,0.061,0.067,0.064,5.920444033,small
5,rain_forest,3,F,0.833,0.047,0.035,0.041,4.921968788,small
6,rain_forest,3,F,0.83,0.059,0.035,0.047,5.662650602,small
1,rain_forest,3,N,2.241,0.122,0.103,0.1125,5.020080321,big
2,rain_forest,3,N,2.532,0.119,0.11,0.1145,4.522116904,big
3,rain_forest,3,N,2.293,0.113,0.077,0.095,4.143044047,big
4,rain_forest,3,N,0.774,0.014,0.061,0.0375,4.84496124,small
5,rain_forest,3,N,0.946,0.069,0.022,0.0455,4.809725159,small
6,rain_forest,3,N,0.778,0.058,0.017,0.0375,4.820051414,small
1,rubber,4,F,2.807,0.136,0.111,0.1235,4.399714998,big
2,rubber,4,F,2.828,0.128,0.118,0.123,4.349363508,big
3,rubber,4,F,2.248,0.143,0.051,0.097,4.314946619,big
4,rubber,4,F,1.122,0.066,0.042,0.054,4.812834225,small
5,rubber,4,F,1.278,0.07,0.061,0.0655,5.125195618,small
6,rubber,4,F,0.806,0.062,0.018,0.04,4.962779156,small
1,rubber,4,N,2.524,0.139,0.107,0.123,4.873217116,big
2,rubber,4,N,2.57,0.115,0.113,0.114,4.435797665,big
3,rubber,4,N,2.822,0.132,0.11,0.121,4.287739192,big
4,rubber,4,N,1.01,0.058,0.039,0.0485,4.801980198,small
5,rubber,4,N,1.447,0.083,0.069,0.076,5.252246026,small
6,rubber,4,N,1.22,0.114,0.038,0.076,6.229508197,small
1,rubber,5,F,2.601,0.114,0.119,0.1165,4.479046521,big
2,rubber,5,F,2.266,0.149,0.027,0.088,3.883495146,big
3,rubber,5,F,2.43,0.102,0.077,0.0895,3.683127572,big
4,rubber,5,F,1.508,0.038,0.09,0.064,4.24403183,small
5,rubber,5,F,1.14,0.088,0.022,0.055,4.824561404,small
6,rubber,5,F,1.062,0.05,0.041,0.0455,4.284369115,small
1,rubber,5,N,2.86,0.142,0.131,0.1365,4.772727273,big
2,rubber,5,N,2.163,0.113,0.103,0.108,4.993065187,big
3,rubber,5,N,2.019,0.1,0.077,0.0885,4.383358098,big
4,rubber,5,N,1.09,0.048,0.056,0.052,4.770642202,small
5,rubber,5,N,0.804,0.044,0.035,0.0395,4.912935323,small
6,rubber,5,N,0.877,0.054,0.036,0.045,5.131128848,small
1,rubber,6,F,2.249,0.053,0.121,0.087,3.868385949,big
2,rubber,6,F,1.814,0.106,0.051,0.0785,4.327453142,big
3,rubber,6,F,2.416,0.124,0.105,0.1145,4.739238411,big
4,rubber,6,F,1.269,0.06,0.067,0.0635,5.00394011,small
5,rubber,6,F,0.894,0.058,0.034,0.046,5.14541387,small
6,rubber,6,F,0.932,0.068,0.03,0.049,5.25751073,small
1,rubber,6,N,2.437,0.126,0.117,0.1215,4.98563808,big
2,rubber,6,N,2.059,0.144,0.049,0.0965,4.686741136,big
3,rubber,6,N,1.844,0.119,0.014,0.0665,3.606290672,big
4,rubber,6,N,1.432,0.039,0.101,0.07,4.888268156,small
5,rubber,6,N,0.777,0.065,0.012,0.0385,4.954954955,small
6,rubber,6,N,1.212,0.056,0.075,0.0655,5.404290429,small
