Condition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants
Light,1,Rainforest,1,8293,termite,cube,termite_cube,10,6
Light,1,Rainforest,1,8293,termite,cube,termite_cube,20,3
Light,1,Rainforest,1,8293,termite,cube,termite_cube,30,5
Light,1,Rainforest,1,8293,termite,cube,termite_cube,40,5
Light,1,Rainforest,1,8293,termite,cube,termite_cube,50,7
Light,1,Rainforest,1,8293,termite,cube,termite_cube,60,9
Light,1,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,10,2
Light,1,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,20,2
Light,1,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,30,1
Light,1,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,40,1
Light,1,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,50,2
Light,1,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,60,2
Light,1,Rainforest,1,8293,tuna,cube,tuna_cube,10,1
Light,1,Rainforest,1,8293,tuna,cube,tuna_cube,20,1
Light,1,Rainforest,1,8293,tuna,cube,tuna_cube,30,0
Light,1,Rainforest,1,8293,tuna,cube,tuna_cube,40,2
Light,1,Rainforest,1,8293,tuna,cube,tuna_cube,50,0
Light,1,Rainforest,1,8293,tuna,cube,tuna_cube,60,2
Light,1,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,10,3
Light,1,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,20,9
Light,1,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,30,10
Light,1,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,40,13
Light,1,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,50,14
Light,1,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,60,26
Light,1,Rainforest,2,1407,termite,cube,termite_cube,10,0
Light,1,Rainforest,2,1407,termite,cube,termite_cube,20,0
Light,1,Rainforest,2,1407,termite,cube,termite_cube,30,2
Light,1,Rainforest,2,1407,termite,cube,termite_cube,40,0
Light,1,Rainforest,2,1407,termite,cube,termite_cube,50,0
Light,1,Rainforest,2,1407,termite,cube,termite_cube,60,1
Light,1,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,10,0
Light,1,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,20,0
Light,1,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,30,0
Light,1,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,40,5
Light,1,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,50,6
Light,1,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,60,4
Light,1,Rainforest,2,1407,tuna,cube,tuna_cube,10,0
Light,1,Rainforest,2,1407,tuna,cube,tuna_cube,20,0
Light,1,Rainforest,2,1407,tuna,cube,tuna_cube,30,0
Light,1,Rainforest,2,1407,tuna,cube,tuna_cube,40,0
