LightCondition,RoundNo.,Treatment,ForestType,ForestNo.,ColSize,Trials,Time,No. Ants
Light,1,Visuals,Rainforest,1,8293,Plasticine Caterpillar,10,1
Light,1,Visuals,Rainforest,1,8293,Plasticine cube,10,3
Light,1,Visuals,Rainforest,1,8293,Termite treated,10,0
Light,1,Visuals,Rainforest,1,8293,Plasticine Caterpillar,20,0
Light,1,Visuals,Rainforest,1,8293,Plasticine cube,20,0
Light,1,Visuals,Rainforest,1,8293,Termite treated,20,1
Light,1,Visuals,Rainforest,1,8293,Plasticine Caterpillar,30,0
Light,1,Visuals,Rainforest,1,8293,Plasticine cube,30,0
Light,1,Visuals,Rainforest,1,8293,Termite treated,30,1
Light,1,Visuals,Rainforest,1,8293,Plasticine Caterpillar,40,0
Light,1,Visuals,Rainforest,1,8293,Plasticine cube,40,0
Light,1,Visuals,Rainforest,1,8293,Termite treated,40,0
Light,1,Visuals,Rainforest,1,8293,Plasticine Caterpillar,50,0
Light,1,Visuals,Rainforest,1,8293,Plasticine cube,50,0
Light,1,Visuals,Rainforest,1,8293,Termite treated,50,0
Light,1,Visuals,Rainforest,1,8293,Plasticine Caterpillar,60,0
Light,1,Visuals,Rainforest,1,8293,Plasticine cube,60,0
Light,1,Visuals,Rainforest,1,8293,Termite treated,60,2
Light,1,Visuals,Rainforest,2,1407,Plasticine Caterpillar,10,1
Light,1,Visuals,Rainforest,2,1407,Plasticine cube,10,1
Light,1,Visuals,Rainforest,2,1407,Termite treated,10,1
Light,1,Visuals,Rainforest,2,1407,Plasticine Caterpillar,20,2
Light,1,Visuals,Rainforest,2,1407,Plasticine cube,20,1
Light,1,Visuals,Rainforest,2,1407,Termite treated,20,0
Light,1,Visuals,Rainforest,2,1407,Plasticine Caterpillar,30,3
Light,1,Visuals,Rainforest,2,1407,Plasticine cube,30,4
Light,1,Visuals,Rainforest,2,1407,Termite treated,30,0
Light,1,Visuals,Rainforest,2,1407,Plasticine Caterpillar,40,1
Light,1,Visuals,Rainforest,2,1407,Plasticine cube,40,5
Light,1,Visuals,Rainforest,2,1407,Termite treated,40,1
Light,1,Visuals,Rainforest,2,1407,Plasticine Caterpillar,50,0
Light,1,Visuals,Rainforest,2,1407,Plasticine cube,50,7
Light,1,Visuals,Rainforest,2,1407,Termite treated,50,0
Light,1,Visuals,Rainforest,2,1407,Plasticine Caterpillar,60,3
Light,1,Visuals,Rainforest,2,1407,Plasticine cube,60,6
Light,1,Visuals,Rainforest,2,1407,Termite treated,60,1
Light,1,Visuals,Rainforest,3,16964,Plasticine Caterpillar,10,1
